cep;endereco;id_bairro;id_cidade;id_estado;id_regiao;tipo;logradouro;latitude;longitude;ativo
85139400;"";54814;4311;18;5;"";"";-25.39306000;-51.45677000;true
85139500;"";54814;4311;18;5;"";"";-25.39306000;-51.45677000;true
85139700;"";54814;4311;18;5;"";"";-25.39306000;-51.45677000;true
85139850;"";54814;4311;18;5;"";"";-25.39306000;-51.45677000;true
85140000;"";54814;4476;18;5;"";"";-25.56719000;-52.04963000;true
85140990;Rua Cacique Candói, s/n;54814;4476;18;5;Rua;Cacique Candói, s/n;-25.66979000;-52.12365000;true
85140992;Rua Principal, s/n;54814;4476;18;5;Rua;Principal, s/n;-25.49909000;-49.20448000;true
85140993;Avenida Egídio Antônio A. Turra, s/n;54814;4476;18;5;Avenida;Egídio Antônio A. Turra, s/n;-25.46758640;-51.93685450;true
85140994;Rua Principal, s/n;54814;4476;18;5;Rua;Principal, s/n;-25.49909000;-49.20448000;true
85145000;"";54814;4477;18;5;"";"";-25.73925000;-52.12084000;true
85148000;"";54814;4478;18;5;"";"";-25.10685000;-51.80805000;true
85150000;"";54814;4479;18;5;"";"";-25.04823000;-51.53893000;true
85155000;"";54814;4480;18;5;"";"";-25.57116000;-51.08018000;true
85160000;"";54814;4481;18;5;"";"";-25.37669000;-52.12012000;true
85162000;"";54814;4482;18;5;"";"";-25.19232000;-51.99179000;true
85164000;"";54814;4482;18;5;"";"";-25.19232000;-51.99179000;true
85167000;"";54814;4482;18;5;"";"";-25.19232000;-51.99179000;true
85168000;"";54814;4483;18;5;"";"";-25.10913000;-52.25072000;true
85170000;"";54814;4484;18;5;"";"";-25.70094000;-51.64106000;true
85175000;"";54814;4484;18;5;"";"";-25.70094000;-51.64106000;true
85180000;"";54814;4484;18;5;"";"";-25.70094000;-51.64106000;true
85190000;"";54814;4484;18;5;"";"";-25.70094000;-51.64106000;true
85193000;"";54814;4484;18;5;"";"";-25.70094000;-51.64106000;true
85195000;"";54814;4485;18;5;"";"";-25.83096000;-52.02783000;true
85198000;"";54814;4485;18;5;"";"";-25.83486230;-52.02597270;true
85200000;"";54814;4486;18;5;"";"";-24.75517000;-51.76360000;true
85216000;"";54814;4486;18;5;"";"";-24.75517000;-51.76360000;true
85225000;"";54814;4487;18;5;"";"";-24.88171000;-51.54477000;true
85230000;"";54814;4488;18;5;"";"";-24.94079000;-51.87136000;true
85235000;"";54814;4488;18;5;"";"";-24.94079000;-51.87136000;true
85240000;"";54814;4489;18;5;"";"";-24.70494000;-52.15025000;true
85245000;"";54814;4489;18;5;"";"";-24.70494000;-52.15025000;true
85250000;"";54814;4490;18;5;"";"";-24.43781000;-51.94658000;true
85255000;"";54814;4490;18;5;"";"";-24.43781000;-51.94658000;true
85260000;"";54814;4491;18;5;"";"";-24.51942260;-51.67232200;true
85265990;Rua Principal, s/n;54814;4491;18;5;Rua;Principal, s/n;-24.51766000;-51.67490000;true
85267000;"";54814;4491;18;5;"";"";-24.51766000;-51.67490000;true
85270000;"";54814;4492;18;5;"";"";-24.88495000;-52.20979000;true
85275000;"";54814;4493;18;5;"";"";-24.88940000;-52.47135000;true
85280000;"";54814;4494;18;5;"";"";-24.79904000;-52.71499000;true
85320000;"";54814;4495;18;5;"";"";-25.41134000;-52.41184000;true
85321000;"";54814;4495;18;5;"";"";-25.41134000;-52.41184000;true
85322000;"";54814;4495;18;5;"";"";-25.41134000;-52.41184000;true
85323000;"";54814;4495;18;5;"";"";-25.41134000;-52.41184000;true
85324000;"";54814;4495;18;5;"";"";-25.41134000;-52.41184000;true
85325000;"";54814;4495;18;5;"";"";-25.41134000;-52.41184000;true
85326000;"";54814;4495;18;5;"";"";-25.40795040;-52.41347460;true
85330000;"";54814;4495;18;5;"";"";-25.41134000;-52.41184000;true
85340000;"";54814;4496;18;5;"";"";-25.48946000;-52.52767000;true
85345000;"";54814;4497;18;5;"";"";-25.54817770;-52.38263050;true
85345990;Avenida Principal, s/n;54814;4497;18;5;Avenida;Principal, s/n;-25.54732000;-52.40769000;true
85348000;"";54814;4497;18;5;"";"";-25.54732000;-52.40769000;true
85350000;"";54814;4498;18;5;"";"";-25.30783000;-52.53782000;true
85350990;Rua Santa Catarina, s/n;54814;4498;18;5;Rua;Santa Catarina, s/n;-25.30755000;-52.53654000;true
85408990;Rua Juscelino Kubitschek, s/n;54814;4501;18;5;Rua;Juscelino Kubitschek, s/n;-25.04423150;-52.67992650;true
