id;cidade;id_estado;latitude;longitude;cod_ibge;cod_ddd;area_km
1;São Paulo;26;-23.61557000;-46.45588000;3550308;11;1521.11
2;Osasco;26;-23.55569000;-46.77719000;3534401;11;64.95
3;Carapicuíba;26;-23.57325440;-46.85380180;3510609;11;34.55
4;Barueri;26;-23.54273160;-46.88359840;3505708;11;65.70
5;Santana de Parnaíba;26;-23.43613000;-46.87040000;3547304;11;179.95
6;Pirapora do Bom Jesus;26;-23.39747000;-47.00240000;3539103;11;108.49
7;Jandira;26;-23.53460000;-46.90960000;3525003;11;17.45
8;Itapevi;26;-23.56096000;-46.91528000;3522505;11;82.66
9;Cotia;26;-23.45391000;-46.50811000;3513009;11;323.99
10;Vargem Grande Paulista;26;-23.60472000;-47.02242000;3556453;11;42.49
11;Taboão da Serra;26;-23.61737000;-46.80789000;3552809;11;20.39
12;Embu das Artes;26;-23.64891000;-46.85291000;3515004;11;70.40
14;Itapecerica da Serra;26;-23.71783000;-46.84895000;3522208;11;150.74
15;São Lourenço da Serra;26;-23.85977000;-46.95128000;3549953;11;186.46
16;Embu-Guaçu;26;-23.81187000;-46.81874000;3515103;11;155.64
17;Juquitiba;26;-23.98406000;-47.14610000;3526209;11;522.17
18;Guarulhos;26;-23.45065000;-46.53164000;3518800;11;318.68
19;Arujá;26;-23.41626000;-46.33667000;3503901;11;144.79
20;Santa Isabel;26;-23.31829000;-46.22771000;3546801;11;363.33
21;Mairiporã;26;-23.29575000;-46.60952000;3528502;11;320.70
22;Caieiras;26;-23.73285000;-46.39302000;3509007;11;97.64
23;Cajamar;26;-23.71006000;-47.41832000;3509205;11;131.39
24;Franco da Rocha;26;-23.32953000;-46.72894000;3516408;11;132.78
25;Francisco Morato;26;-23.28219000;-46.74925000;3516309;11;49.00
26;Ferraz de Vasconcelos;26;-23.52927000;-46.36520000;3515707;11;29.56
27;Poá;26;-23.52221000;-46.33883000;3539806;11;17.26
28;Itaquaquecetuba;26;-23.43673000;-46.27504000;3523107;11;82.62
29;Suzano;26;-23.58294000;-46.30327000;3552502;11;206.24
30;Mogi das Cruzes;26;-23.55046000;-46.21425000;3530607;11;712.54
31;Guararema;26;-23.41232000;-46.03608000;3518305;11;270.82
32;Biritiba-Mirim;26;-23.57389000;-46.03839000;3506607;11;317.41
33;Salesópolis;26;-22.03106000;-47.89296000;3545001;11;425.00
34;Santo André;26;-23.61963000;-46.57173000;3547809;11;175.78
35;Mauá;26;-23.67489000;-46.45227000;3529401;11;61.91
36;Ribeirão Pires;26;-23.66079000;-46.36694000;3543303;11;99.08
37;Rio Grande da Serra;26;-23.74437000;-46.39279000;3544103;11;36.34
38;São Caetano do Sul;26;-23.61817000;-46.55868000;3548807;11;15.33
39;São Bernardo do Campo;26;-23.71920000;-46.53732000;3548708;11;409.53
40;Salvador;5;-12.89950000;-38.46033000;2927408;71;692.82
41;Diadema;26;-23.68165870;-46.62034120;3513801;11;30.73
42;Santos;26;-23.93057000;-46.35467000;3548500;13;281.03
43;Bertioga;26;-23.82313000;-46.12529000;3506359;13;491.55
44;São Vicente;26;-23.97578000;-46.45549000;3551009;13;148.10
45;Guarujá;26;-24.01079000;-46.27099000;3518701;13;144.79
46;Cubatão;26;-23.93157000;-46.43005000;3513504;13;142.88
47;São Sebastião;26;-21.61157000;-48.35689000;3550704;12;403.34
48;Ilhabela;26;-23.82396000;-45.36689000;3520400;12;346.39
49;Caraguatatuba;26;-23.62641000;-45.39332000;3510500;12;484.95
50;Ubatuba;26;-23.43982000;-45.08116000;3555406;12;708.11
51;Praia Grande;26;-24.05340000;-46.53862000;3541000;13;149.25
52;Mongaguá;26;-24.10985100;-46.67628220;3531100;13;143.21
53;Itanhaém;26;-24.16329000;-46.79223000;3522109;13;601.71
54;Peruíbe;26;-24.30627000;-46.97909000;3537602;13;326.22
55;Itariri;26;-24.29080000;-47.17507000;3523305;13;273.67
56;Pedro de Toledo;26;-24.27633000;-47.23406000;3537206;13;670.44
57;Juquiá;26;-24.31178000;-47.62667000;3526100;13;812.80
58;Miracatu;26;-24.28353000;-47.45909000;3529906;13;1001.48
59;Registro;26;-24.49134000;-47.84197000;3542602;13;722.20
60;Sete Barras;26;-24.38622000;-47.92726000;3551801;13;1062.70
61;Iguape;26;-24.70836000;-47.55649000;3520301;13;1978.80
62;Ilha Comprida;26;-24.74888000;-47.55143000;3520426;13;196.57
63;Pariquera-Açu;26;-24.71531000;-47.88239000;3536208;13;359.41
64;Jacupiranga;26;-24.69156000;-48.00226000;3524600;13;704.19
65;Cajati;26;-22.66098000;-47.62008000;3509254;13;454.44
66;Barra do Turvo;26;-24.75749000;-48.50573000;3505401;15;1007.67
67;Eldorado;26;-23.64355150;-46.75190620;3514809;13;1654.26
68;Cananéia;26;-25.01442000;-47.92852000;3509908;13;1237.36
69;Taubaté;26;-22.74068000;-47.32537000;3554102;12;625.00
70;Tremembé;26;-22.96450000;-45.54987000;3554805;12;191.09
71;Lagoinha;26;-23.55355000;-46.40649000;3526308;12;255.47
72;São Luiz do Paraitinga;26;-23.22213000;-45.31130000;3550001;11;1521.11
73;Redenção da Serra;26;-23.27890000;-45.53489000;3542305;12;309.44
74;Natividade da Serra;26;-23.37770000;-45.44463000;3532306;12;833.37
75;São José dos Campos;26;-23.24780000;-45.91497000;3549904;12;1099.41
76;Monteiro Lobato;26;-22.95467000;-45.83848000;3531704;12;332.74
77;Paraibuna;26;-23.38996000;-45.66233000;3535606;12;809.58
78;Jambeiro;26;-23.25481000;-45.69061000;3524907;12;184.41
79;Caçapava;26;-23.09144000;-45.69016000;3508504;12;368.99
80;Jacareí;26;-23.31619000;-45.99369000;3524402;12;464.27
81;Igaratá;26;-23.20605000;-46.15387000;3520202;11;292.95
82;Santa Branca;26;-23.39725000;-45.88543000;3546009;12;272.24
83;Pindamonhangaba;26;-22.90009000;-45.37687000;3538006;12;730.00
84;Santo Antônio do Pinhal;26;-22.82497000;-45.66690000;3548203;12;133.01
85;Campos do Jordão;26;-22.74115000;-45.59227000;3509700;12;290.52
