id;bairro;id_cidade;latitude;longitude
1;Sé;1;-23.54959000;-46.63686000
2;Centro;1;-23.54870720;-46.63737590
3;Brás;1;-23.54786000;-46.62450000
4;República;1;-23.54618440;-46.64007600
5;Luz;1;-23.52880000;-46.62838000
6;Ponte Pequena;1;-23.51952000;-46.61951000
7;Bom Retiro;1;-23.52882000;-46.63478000
8;Canindé;1;-23.52088000;-46.62423000
9;Barra Funda;1;-23.52359100;-46.66359100
10;Várzea da Barra Funda;1;-23.51843000;-46.67210000
11;Parque Industrial Tomas Edson;1;-23.51879810;-46.67500520
12;Santa Cecília;1;-23.53913200;-46.65679710
13;Perdizes;1;-23.53443880;-46.66436460
14;Campos Elíseos;1;-23.53800810;-46.64609390
15;Santa Efigênia;1;-23.54088000;-46.64395000
16;Vila Buarque;1;-23.54091000;-46.64979000
17;Higienópolis;1;-23.54363410;-46.65592760
18;Consolação;1;-23.54856000;-46.64539000
19;Pacaembu;1;-23.52966000;-46.66098000
20;Sumaré;1;-23.54371230;-46.68823870
21;Cerqueira César;1;-23.55193000;-46.65783000
22;Bela Vista;1;-23.56267010;-46.65254560
23;Liberdade;1;-23.55880060;-46.63746710
24;Morro dos Ingleses;1;-23.56117000;-46.64694000
25;Jardim Paulista;1;-23.55999000;-46.66579000
26;Jardim América;1;-23.56433000;-46.67192000
27;Jardim Paulistano;1;-23.58267000;-46.68804000
28;Jardins;1;-23.56572000;-46.67787000
29;Jardim Europa;1;-23.57595000;-46.67521000
30;Itaim Bibi;1;-23.58110000;-46.67422000
31;Pinheiros;1;-23.19130000;-45.87905000
32;Cambuci;1;-23.57165000;-46.62327000
33;Mooca;1;-20.17124000;-49.96815000
34;Aclimação;1;-23.57851000;-46.63053000
35;Vila Deodoro;1;-23.57758000;-46.62189000
36;Jardim da Glória;1;-23.58217000;-46.61655000
37;Jardim Glória;1;-23.57805690;-46.61938980
38;Vila Monumento;1;-23.71968000;-46.59376000
39;Santana;1;-23.49719000;-46.63282000
40;Parque Anhembi;1;-23.51683000;-46.63465000
41;Vila Bianca;1;-23.50483000;-46.63617000
42;Carandiru;1;-23.51284760;-46.62194640
43;Vila Guilherme;1;-23.51789000;-46.60739000
44;Vila Matias;1;-23.49461000;-46.62525000
